Email_address,First_name,Last_name,Course_id,Grade,Marks
user0@test.com,Test,User,DATA200,A,50
user1@test.com,Test,User,DATA200,A,51
user2@test.com,Test,User,DATA200,A,52
user3@test.com,Test,User,DATA200,A,53
user4@test.com,Test,User,DATA200,A,54
user5@test.com,Test,User,DATA200,A,55
user6@test.com,Test,User,DATA200,A,56
user7@test.com,Test,User,DATA200,A,57
user8@test.com,Test,User,DATA200,A,58
user9@test.com,Test,User,DATA200,A,59
user10@test.com,Test,User,DATA200,A,60
user11@test.com,Test,User,DATA200,A,61
user12@test.com,Test,User,DATA200,A,62
user13@test.com,Test,User,DATA200,A,63
user14@test.com,Test,User,DATA200,A,64
user15@test.com,Test,User,DATA200,A,65
user16@test.com,Test,User,DATA200,A,66
user17@test.com,Test,User,DATA200,A,67
user18@test.com,Test,User,DATA200,A,68
user19@test.com,Test,User,DATA200,A,69
user20@test.com,Test,User,DATA200,A,70
user21@test.com,Test,User,DATA200,A,71
user22@test.com,Test,User,DATA200,A,72
user23@test.com,Test,User,DATA200,A,73
user24@test.com,Test,User,DATA200,A,74
user25@test.com,Test,User,DATA200,A,75
user26@test.com,Test,User,DATA200,A,76
user27@test.com,Test,User,DATA200,A,77
user28@test.com,Test,User,DATA200,A,78
user29@test.com,Test,User,DATA200,A,79
user30@test.com,Test,User,DATA200,A,80
user31@test.com,Test,User,DATA200,A,81
user32@test.com,Test,User,DATA200,A,82
user33@test.com,Test,User,DATA200,A,83
user34@test.com,Test,User,DATA200,A,84
user35@test.com,Test,User,DATA200,A,85
user36@test.com,Test,User,DATA200,A,86
user37@test.com,Test,User,DATA200,A,87
user38@test.com,Test,User,DATA200,A,88
user39@test.com,Test,User,DATA200,A,89
user40@test.com,Test,User,DATA200,A,90
user41@test.com,Test,User,DATA200,A,91
user42@test.com,Test,User,DATA200,A,92
user43@test.com,Test,User,DATA200,A,93
user44@test.com,Test,User,DATA200,A,94
user45@test.com,Test,User,DATA200,A,95
user46@test.com,Test,User,DATA200,A,96
user47@test.com,Test,User,DATA200,A,97
user48@test.com,Test,User,DATA200,A,98
user49@test.com,Test,User,DATA200,A,99
user50@test.com,Test,User,DATA200,A,50
user51@test.com,Test,User,DATA200,A,51
user52@test.com,Test,User,DATA200,A,52
user53@test.com,Test,User,DATA200,A,53
user54@test.com,Test,User,DATA200,A,54
user55@test.com,Test,User,DATA200,A,55
user56@test.com,Test,User,DATA200,A,56
user57@test.com,Test,User,DATA200,A,57
user58@test.com,Test,User,DATA200,A,58
user59@test.com,Test,User,DATA200,A,59
user60@test.com,Test,User,DATA200,A,60
user61@test.com,Test,User,DATA200,A,61
user62@test.com,Test,User,DATA200,A,62
user63@test.com,Test,User,DATA200,A,63
user64@test.com,Test,User,DATA200,A,64
user65@test.com,Test,User,DATA200,A,65
